0	8192	1	30e14955ebf13522
0	8192	1	30e14955ebf13522
1	8192	1	30e14955ebf13522
1	8192	1	30e14955ebf13522
2	8192	1	30e14955ebf13522
2	8192	1	30e14955ebf13522
3	8192	1	30e14955ebf13522
3	8192	1	30e14955ebf13522
4	8192	1	30e14955ebf13522
4	8192	1	30e14955ebf13522
5	8192	1	30e14955ebf13522
5	8192	1	30e14955ebf13522
6	8192	1	30e14955ebf13522
6	8192	1	30e14955ebf13522
7	8192	1	30e14955ebf13522
7	8192	1	30e14955ebf13522
8	8192	1	30e14955ebf13522
8	8192	1	30e14955ebf13522
9	8192	1	30e14955ebf13522
9	8192	1	30e14955ebf13522
10	8192	1	30e14955ebf13522
10	8192	1	30e14955ebf13522
11	8192	1	30e14955ebf13522
11	8192	1	30e14955ebf13522
12	8192	1	30e14955ebf13522
12	8192	1	30e14955ebf13522
13	8192	1	30e14955ebf13522
13	8192	1	30e14955ebf13522
14	8192	1	30e14955ebf13522
14	8192	1	30e14955ebf13522
15	8192	1	30e14955ebf13522
15	8192	1	30e14955ebf13522
16	8192	1	30e14955ebf13522
16	8192	1	30e14955ebf13522
17	8192	1	30e14955ebf13522
17	8192	1	30e14955ebf13522
18	8192	1	30e14955ebf13522
18	8192	1	30e14955ebf13522
19	8192	1	30e14955ebf13522
19	8192	1	30e14955ebf13522
20	8192	1	30e14955ebf13522
20	8192	1	30e14955ebf13522
21	8192	1	30e14955ebf13522
21	8192	1	30e14955ebf13522
22	8192	1	30e14955ebf13522
22	8192	1	30e14955ebf13522
23	8192	1	30e14955ebf13522
23	8192	1	30e14955ebf13522
24	8192	1	30e14955ebf13522
24	8192	1	30e14955ebf13522
25	8192	1	30e14955ebf13522
25	8192	1	30e14955ebf13522
26	8192	1	30e14955ebf13522
26	8192	1	30e14955ebf13522
27	8192	1	30e14955ebf13522
27	8192	1	30e14955ebf13522
28	8192	1	30e14955ebf13522
28	8192	1	30e14955ebf13522
29	8192	1	30e14955ebf13522
29	8192	1	30e14955ebf13522
30	8192	1	30e14955ebf13522
30	8192	1	30e14955ebf13522
31	8192	1	30e14955ebf13522
31	8192	1	30e14955ebf13522
0	64	1	9f1dcbc35c350d60
0	64	1	9f1dcbc35c350d60
1	64	1	9f1dcbc35c350d60
1	64	1	9f1dcbc35c350d60
2	64	1	9f1dcbc35c350d60
2	64	1	9f1dcbc35c350d60
3	64	1	9f1dcbc35c350d60
3	64	1	9f1dcbc35c350d60
4	64	1	9f1dcbc35c350d60
4	64	1	9f1dcbc35c350d60
5	64	1	9f1dcbc35c350d60
5	64	1	9f1dcbc35c350d60
6	64	1	9f1dcbc35c350d60
6	64	1	9f1dcbc35c350d60
7	64	1	9f1dcbc35c350d60
7	64	1	9f1dcbc35c350d60
8	64	1	9f1dcbc35c350d60
8	64	1	9f1dcbc35c350d60
9	64	1	9f1dcbc35c350d60
9	64	1	9f1dcbc35c350d60
10	64	1	9f1dcbc35c350d60
10	64	1	9f1dcbc35c350d60
11	64	1	9f1dcbc35c350d60
11	64	1	9f1dcbc35c350d60
12	64	1	9f1dcbc35c350d60
12	64	1	9f1dcbc35c350d60
13	64	1	9f1dcbc35c350d60
13	64	1	9f1dcbc35c350d60
14	64	1	9f1dcbc35c350d60
14	64	1	9f1dcbc35c350d60
15	64	1	9f1dcbc35c350d60
15	64	1	9f1dcbc35c350d60
16	64	1	9f1dcbc35c350d60
16	64	1	9f1dcbc35c350d60
17	64	1	9f1dcbc35c350d60
17	64	1	9f1dcbc35c350d60
18	64	1	9f1dcbc35c350d60
18	64	1	9f1dcbc35c350d60
19	64	1	9f1dcbc35c350d60
19	64	1	9f1dcbc35c350d60
20	64	1	9f1dcbc35c350d60
20	64	1	9f1dcbc35c350d60
21	64	1	9f1dcbc35c350d60
21	64	1	9f1dcbc35c350d60
22	64	1	9f1dcbc35c350d60
22	64	1	9f1dcbc35c350d60
23	64	1	9f1dcbc35c350d60
23	64	1	9f1dcbc35c350d60
24	64	1	9f1dcbc35c350d60
24	64	1	9f1dcbc35c350d60
25	64	1	9f1dcbc35c350d60
25	64	1	9f1dcbc35c350d60
26	64	1	9f1dcbc35c350d60
26	64	1	9f1dcbc35c350d60
27	64	1	9f1dcbc35c350d60
27	64	1	9f1dcbc35c350d60
28	64	1	9f1dcbc35c350d60
28	64	1	9f1dcbc35c350d60
29	64	1	9f1dcbc35c350d60
29	64	1	9f1dcbc35c350d60
30	64	1	9f1dcbc35c350d60
30	64	1	9f1dcbc35c350d60
31	64	1	9f1dcbc35c350d60
31	64	1	9f1dcbc35c350d60
