0	8192	1	-1	-1	-1
0	8192	1	-1	-1	-1
1	8192	1	-1	-1	-1
1	8192	1	-1	-1	-1
2	8192	1	-1	-1	-1
2	8192	1	-1	-1	-1
3	8192	1	-1	-1	-1
3	8192	1	-1	-1	-1
4	8192	1	-1	-1	-1
4	8192	1	-1	-1	-1
5	8192	1	-1	-1	-1
5	8192	1	-1	-1	-1
6	8192	1	-1	-1	-1
6	8192	1	-1	-1	-1
7	8192	1	-1	-1	-1
7	8192	1	-1	-1	-1
8	8192	1	-1	-1	-1
8	8192	1	-1	-1	-1
9	8192	1	-1	-1	-1
9	8192	1	-1	-1	-1
10	8192	1	-1	-1	-1
10	8192	1	-1	-1	-1
11	8192	1	-1	-1	-1
11	8192	1	-1	-1	-1
12	8192	1	-1	-1	-1
12	8192	1	-1	-1	-1
13	8192	1	-1	-1	-1
13	8192	1	-1	-1	-1
14	8192	1	-1	-1	-1
14	8192	1	-1	-1	-1
15	8192	1	-1	-1	-1
15	8192	1	-1	-1	-1
16	8192	1	-1	-1	-1
16	8192	1	-1	-1	-1
17	8192	1	-1	-1	-1
17	8192	1	-1	-1	-1
18	8192	1	-1	-1	-1
18	8192	1	-1	-1	-1
19	8192	1	-1	-1	-1
19	8192	1	-1	-1	-1
20	8192	1	-1	-1	-1
20	8192	1	-1	-1	-1
21	8192	1	-1	-1	-1
21	8192	1	-1	-1	-1
22	8192	1	-1	-1	-1
22	8192	1	-1	-1	-1
23	8192	1	-1	-1	-1
23	8192	1	-1	-1	-1
24	8192	1	-1	-1	-1
24	8192	1	-1	-1	-1
25	8192	1	-1	-1	-1
25	8192	1	-1	-1	-1
26	8192	1	-1	-1	-1
26	8192	1	-1	-1	-1
27	8192	1	-1	-1	-1
27	8192	1	-1	-1	-1
28	8192	1	-1	-1	-1
28	8192	1	-1	-1	-1
29	8192	1	-1	-1	-1
29	8192	1	-1	-1	-1
30	8192	1	-1	-1	-1
30	8192	1	-1	-1	-1
31	8192	1	-1	-1	-1
31	8192	1	-1	-1	-1
0	64	1	-1	-1	-1
0	64	1	-1	-1	-1
1	64	1	-1	-1	-1
1	64	1	-1	-1	-1
2	64	1	-1	-1	-1
2	64	1	-1	-1	-1
3	64	1	-1	-1	-1
3	64	1	-1	-1	-1
4	64	1	-1	-1	-1
4	64	1	-1	-1	-1
5	64	1	-1	-1	-1
5	64	1	-1	-1	-1
6	64	1	-1	-1	-1
6	64	1	-1	-1	-1
7	64	1	-1	-1	-1
7	64	1	-1	-1	-1
8	64	1	-1	-1	-1
8	64	1	-1	-1	-1
9	64	1	-1	-1	-1
9	64	1	-1	-1	-1
10	64	1	-1	-1	-1
10	64	1	-1	-1	-1
11	64	1	-1	-1	-1
11	64	1	-1	-1	-1
12	64	1	-1	-1	-1
12	64	1	-1	-1	-1
13	64	1	-1	-1	-1
13	64	1	-1	-1	-1
14	64	1	-1	-1	-1
14	64	1	-1	-1	-1
15	64	1	-1	-1	-1
15	64	1	-1	-1	-1
16	64	1	-1	-1	-1
16	64	1	-1	-1	-1
17	64	1	-1	-1	-1
17	64	1	-1	-1	-1
18	64	1	-1	-1	-1
18	64	1	-1	-1	-1
19	64	1	-1	-1	-1
19	64	1	-1	-1	-1
20	64	1	-1	-1	-1
20	64	1	-1	-1	-1
21	64	1	-1	-1	-1
21	64	1	-1	-1	-1
22	64	1	-1	-1	-1
22	64	1	-1	-1	-1
23	64	1	-1	-1	-1
23	64	1	-1	-1	-1
24	64	1	-1	-1	-1
24	64	1	-1	-1	-1
25	64	1	-1	-1	-1
25	64	1	-1	-1	-1
26	64	1	-1	-1	-1
26	64	1	-1	-1	-1
27	64	1	-1	-1	-1
27	64	1	-1	-1	-1
28	64	1	-1	-1	-1
28	64	1	-1	-1	-1
29	64	1	-1	-1	-1
29	64	1	-1	-1	-1
30	64	1	-1	-1	-1
30	64	1	-1	-1	-1
31	64	1	-1	-1	-1
31	64	1	-1	-1	-1
0	64	3	3	61	0
0	64	3	3	61	0
1	64	3	3	61	0
1	64	3	3	61	0
2	64	3	3	61	0
2	64	3	3	61	0
3	64	3	3	61	0
3	64	3	3	61	0
4	64	3	3	61	0
4	64	3	3	61	0
5	64	3	3	61	0
5	64	3	3	61	0
6	64	3	3	61	0
6	64	3	3	61	0
7	64	3	3	61	0
7	64	3	3	61	0
8	64	3	3	61	0
8	64	3	3	61	0
9	64	3	3	61	0
9	64	3	3	61	0
10	64	3	3	61	0
10	64	3	3	61	0
11	64	3	3	61	0
11	64	3	3	61	0
12	64	3	3	61	0
12	64	3	3	61	0
13	64	3	3	61	0
13	64	3	3	61	0
14	64	3	3	61	0
14	64	3	3	61	0
15	64	3	3	61	0
15	64	3	3	61	0
16	64	3	3	61	0
16	64	3	3	61	0
17	64	3	3	61	0
17	64	3	3	61	0
18	64	3	3	61	0
18	64	3	3	61	0
19	64	3	3	61	0
19	64	3	3	61	0
20	64	3	3	61	0
20	64	3	3	61	0
21	64	3	3	61	0
21	64	3	3	61	0
22	64	3	3	61	0
22	64	3	3	61	0
23	64	3	3	61	0
23	64	3	3	61	0
24	64	3	3	61	0
24	64	3	3	61	0
25	64	3	3	61	0
25	64	3	3	61	0
26	64	3	3	61	0
26	64	3	3	61	0
27	64	3	3	61	0
27	64	3	3	61	0
28	64	3	3	61	0
28	64	3	3	61	0
29	64	3	3	61	0
29	64	3	3	61	0
30	64	3	3	61	0
30	64	3	3	61	0
31	64	3	3	61	0
31	64	3	3	61	0
0	64	3	3	61	0
0	64	3	3	61	0
1	64	3	3	61	0
1	64	3	3	61	0
2	64	3	3	61	0
2	64	3	3	61	0
3	64	3	3	61	0
3	64	3	3	61	0
4	64	3	3	61	0
4	64	3	3	61	0
5	64	3	3	61	0
5	64	3	3	61	0
6	64	3	3	61	0
6	64	3	3	61	0
7	64	3	3	61	0
7	64	3	3	61	0
8	64	3	3	61	0
8	64	3	3	61	0
9	64	3	3	61	0
9	64	3	3	61	0
10	64	3	3	61	0
10	64	3	3	61	0
11	64	3	3	61	0
11	64	3	3	61	0
12	64	3	3	61	0
12	64	3	3	61	0
13	64	3	3	61	0
13	64	3	3	61	0
14	64	3	3	61	0
14	64	3	3	61	0
15	64	3	3	61	0
15	64	3	3	61	0
16	64	3	3	61	0
16	64	3	3	61	0
17	64	3	3	61	0
17	64	3	3	61	0
18	64	3	3	61	0
18	64	3	3	61	0
19	64	3	3	61	0
19	64	3	3	61	0
20	64	3	3	61	0
20	64	3	3	61	0
21	64	3	3	61	0
21	64	3	3	61	0
22	64	3	3	61	0
22	64	3	3	61	0
23	64	3	3	61	0
23	64	3	3	61	0
24	64	3	3	61	0
24	64	3	3	61	0
25	64	3	3	61	0
25	64	3	3	61	0
26	64	3	3	61	0
26	64	3	3	61	0
27	64	3	3	61	0
27	64	3	3	61	0
28	64	3	3	61	0
28	64	3	3	61	0
29	64	3	3	61	0
29	64	3	3	61	0
30	64	3	3	61	0
30	64	3	3	61	0
31	64	3	3	61	0
31	64	3	3	61	0
0	64	3	3	61	0
0	64	3	3	61	0
1	64	3	3	61	0
1	64	3	3	61	0
2	64	3	3	61	0
2	64	3	3	61	0
3	64	3	3	61	0
3	64	3	3	61	0
4	64	3	3	61	0
4	64	3	3	61	0
5	64	3	3	61	0
5	64	3	3	61	0
6	64	3	3	61	0
6	64	3	3	61	0
7	64	3	3	61	0
7	64	3	3	61	0
8	64	3	3	61	0
8	64	3	3	61	0
9	64	3	3	61	0
9	64	3	3	61	0
10	64	3	3	61	0
10	64	3	3	61	0
11	64	3	3	61	0
11	64	3	3	61	0
12	64	3	3	61	0
12	64	3	3	61	0
13	64	3	3	61	0
13	64	3	3	61	0
14	64	3	3	61	0
14	64	3	3	61	0
15	64	3	3	61	0
15	64	3	3	61	0
16	64	3	3	61	0
16	64	3	3	61	0
17	64	3	3	61	0
17	64	3	3	61	0
18	64	3	3	61	0
18	64	3	3	61	0
19	64	3	3	61	0
19	64	3	3	61	0
20	64	3	3	61	0
20	64	3	3	61	0
21	64	3	3	61	0
21	64	3	3	61	0
22	64	3	3	61	0
22	64	3	3	61	0
23	64	3	3	61	0
23	64	3	3	61	0
24	64	3	3	61	0
24	64	3	3	61	0
25	64	3	3	61	0
25	64	3	3	61	0
26	64	3	3	61	0
26	64	3	3	61	0
27	64	3	3	61	0
27	64	3	3	61	0
28	64	3	3	61	0
28	64	3	3	61	0
29	64	3	3	61	0
29	64	3	3	61	0
30	64	3	3	61	0
30	64	3	3	61	0
31	64	3	3	61	0
31	64	3	3	61	0
0	64	3	3	61	0
0	64	3	3	61	0
1	64	3	3	61	0
1	64	3	3	61	0
2	64	3	3	61	0
2	64	3	3	61	0
3	64	3	3	61	0
3	64	3	3	61	0
4	64	3	3	61	0
4	64	3	3	61	0
5	64	3	3	61	0
5	64	3	3	61	0
6	64	3	3	61	0
6	64	3	3	61	0
7	64	3	3	61	0
7	64	3	3	61	0
8	64	3	3	61	0
8	64	3	3	61	0
9	64	3	3	61	0
9	64	3	3	61	0
10	64	3	3	61	0
10	64	3	3	61	0
11	64	3	3	61	0
11	64	3	3	61	0
12	64	3	3	61	0
12	64	3	3	61	0
13	64	3	3	61	0
13	64	3	3	61	0
14	64	3	3	61	0
14	64	3	3	61	0
15	64	3	3	61	0
15	64	3	3	61	0
16	64	3	3	61	0
16	64	3	3	61	0
17	64	3	3	61	0
17	64	3	3	61	0
18	64	3	3	61	0
18	64	3	3	61	0
19	64	3	3	61	0
19	64	3	3	61	0
20	64	3	3	61	0
20	64	3	3	61	0
21	64	3	3	61	0
21	64	3	3	61	0
22	64	3	3	61	0
22	64	3	3	61	0
23	64	3	3	61	0
23	64	3	3	61	0
24	64	3	3	61	0
24	64	3	3	61	0
25	64	3	3	61	0
25	64	3	3	61	0
26	64	3	3	61	0
26	64	3	3	61	0
27	64	3	3	61	0
27	64	3	3	61	0
28	64	3	3	61	0
28	64	3	3	61	0
29	64	3	3	61	0
29	64	3	3	61	0
30	64	3	3	61	0
30	64	3	3	61	0
31	64	3	3	61	0
31	64	3	3	61	0
0	64	3	3	61	0
0	64	3	3	61	0
1	64	3	3	61	0
1	64	3	3	61	0
2	64	3	3	61	0
2	64	3	3	61	0
3	64	3	3	61	0
3	64	3	3	61	0
4	64	3	3	61	0
4	64	3	3	61	0
5	64	3	3	61	0
5	64	3	3	61	0
6	64	3	3	61	0
6	64	3	3	61	0
7	64	3	3	61	0
7	64	3	3	61	0
8	64	3	3	61	0
8	64	3	3	61	0
9	64	3	3	61	0
9	64	3	3	61	0
10	64	3	3	61	0
10	64	3	3	61	0
11	64	3	3	61	0
11	64	3	3	61	0
12	64	3	3	61	0
12	64	3	3	61	0
13	64	3	3	61	0
13	64	3	3	61	0
14	64	3	3	61	0
14	64	3	3	61	0
15	64	3	3	61	0
15	64	3	3	61	0
16	64	3	3	61	0
16	64	3	3	61	0
17	64	3	3	61	0
17	64	3	3	61	0
18	64	3	3	61	0
18	64	3	3	61	0
19	64	3	3	61	0
19	64	3	3	61	0
20	64	3	3	61	0
20	64	3	3	61	0
21	64	3	3	61	0
21	64	3	3	61	0
22	64	3	3	61	0
22	64	3	3	61	0
23	64	3	3	61	0
23	64	3	3	61	0
24	64	3	3	61	0
24	64	3	3	61	0
25	64	3	3	61	0
25	64	3	3	61	0
26	64	3	3	61	0
26	64	3	3	61	0
27	64	3	3	61	0
27	64	3	3	61	0
